FacilityName,FacilityNameNum,Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,capacityNum,lat,lon
Equity Industrial Partners,Equity Industrial Partners,Equity Industrial Partners,Community Wind,Equity Industrial Turbines LLC,Equity Industrial Turbines LLC,City of Gloucester,Gloucester MA,4 MW,2,2012,Gamesa,In Service,"42.625864°, -70.65621°",4,42.625864,-70.65621
Eswood School,Eswood School,Eswood School,Community Wind,Eswood School,Eswood School,Eswoood School - excess to utilities,Lindenwood IL,0.23 MW,1,2012,Rock-Wind LLC (refurb),In Service,"42.05673329°, -89.03339624°",0.23,42.05673329,-89.03339624
Eudora High School Wind Project,Eudora High School Wind Project,Eudora High School,Community Wind,,,,KS,,1,,SkyStream,,"38.922672°, -95.097763°",0,38.922672,-95.097763
Eva Creek Wind Project,Eva Creek Wind Project,Eva Creek Wind Project,Commercial Scale Wind,Golden Valley Electric Association,Golden Valley Electric Association,Golden Valley Electric Association,NE corner of Denali Natl Park AK,24.6 MW,12,2012,REpower,In Service,"64.0602°, -148.9054°",24.6,64.0602,-148.9054
Evansville WI (WWTP),Evansville WI (WWTP),Evansville WI (WWTP),Definition:Small Scale Wind,Evansville WI (WWTP),,Evansville WI (WWTP),Evansville WI,0.1 MW,1,2010,Northern Power Systems,In Service,"42.77765315°, -89.28004146°",0.1,42.77765315,-89.28004146
Eve,Eve,Eve,Commercial Scale Wind,GSG 7 LLC,GSG 7 LLC,ComEd,Sublette IL,2.5 MW,1,2012,Clipper,In Service,"41.61974148°, -89.35523987°",2.5,41.61974148,-89.35523987
Ewington Wind Farm,Ewington Wind Farm,Ewington Wind Farm,Commercial Scale Wind,John Deere Wind Energy,Community,Northern States Power,Worthington MN,21 MW,10,2008,Suzlon Energy Company,In Service,"43.621733°, -95.678694°",21,43.621733,-95.678694
F.E. Warren Air Force Base Wind Farm,F.E. Warren Air Force Base Wind Farm,F.E. Warren Air Force Base,Community Wind,F.E. Warren Air Force Base,F.E. Warren Air Force Base,F.E. Warren Air Force Base,Near Cheyenne WY,1.32 MW,2,2005,Vestas,In Service,"41.175569°, -104.880778°",1.32,41.175569,-104.880778
FERN Blue Ribbon Wind Farm I,FERN Blue Ribbon Wind Farm I,FERN Blue Ribbon Wind Farm I,Offshore Wind,,Fishermen's Energy,,Offshore from Atlantic City NJ,25 MW,6,,XEMC-Darwind,Proposed,"39.311°, -74.41°",25,39.311,-74.41
FERN Blue Ribbon Wind Farm II*,FERN Blue Ribbon Wind Farm II*,FERN Blue Ribbon Wind Farm II*,Offshore Wind,,Fishermen's Energy,,Offshore from Atlantic City NJ,330 MW,66,,Undetermined,Proposed,"39.183°, -74.428°",330,39.183,-74.428
Fairhaven Wind,Fairhaven Wind,Fairhaven Wind,Community Wind,Solaya Energy / Palmer Capital / CTI Energy,Solaya Energy,Town of Fairhaven,Fairhaven MA,3 MW,2,2012,Sinovel,In Service,"41.63885963°, -70.87331772°",3,41.63885963,-70.87331772
Falmouth Wastewater,Falmouth Wastewater,Falmouth Wastewater,Community Wind,Falmouth Wastewater,Falmouth Wastewater,Falmouth Wastewater,Falmouth MA,1.65 MW,1,2010,Vestas,In Service,"41.566789°, -70.608791°",1.65,41.566789,-70.608791
Falmouth Wind 2,Falmouth Wind 2,Falmouth Wind 2,Commercial Scale Wind,Town of Falmouth,Lumus,Net-metered,East Falmouth MA,1.65 MW,1,2012,Vestas,In Service,"41.60764536°, -70.62101841°",1.65,41.60764536,-70.62101841
Farmer's Cooperatives Wind Farm,Farmer's Cooperatives Wind Farm,Farmer's Cooperatives,Commercial Scale Wind,,DanMar & Associates,Xcel/ Great River Energy,Jackson County MN,5.7 MW,6,2004,Vestas,In Service,"43.612366°, -95.142403°",5.7,43.612366,-95.142403
Farmers City Wind Farm,Farmers City Wind Farm,Farmers City,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,,Atchison County MO,146 MW,73,2010,Gamesa,In Service,"40.438596°, -95.469482°",146,40.438596,-95.469482
Federated Wind Farm,Federated Wind Farm,Federated,Commercial Scale Wind,Federated,Federated,,MN,2.1 MW,1,2008,Suzlon Energy Company,In Service,"46.729553°, -94.6858998°",2.1,46.729553,-94.6858998
Fenner,Fenner,Fenner,Commercial Scale Wind,Enel Green Power North America,Enel Green Power North America,NYSERDA,Cazenovia NY,1.5 MW,1,2012,Goldwind,In Service,"42.971519°, -75.759939°",1.5,42.971519,-75.759939
Fenner Wind Power Project,Fenner Wind Power Project,Fenner Wind Power Project,Commercial Scale Wind,Enel North America,Atlantic Renewable Energy,Market,Fenner NY,30 MW,20,2001,GE Energy,In Service,"43.000482°, -75.762498°",30,43.000482,-75.762498
Fenton Wind Power Project,Fenton Wind Power Project,Fenton Wind Power Project,Commercial Scale Wind,EnXco,EnXco,Xcel Energy,Murray and Nobles Counties near Chandler MN,205.5 MW,137,2007,GE Energy,In Service,"43.909806°, -95.965884°",205.5,43.909806,-95.965884
Ferndale High School Wind Project,Ferndale High School Wind Project,Ferndale High School,Community Wind,,,,WA,,1,,SkyStream,,"48.852478°, -122.592613°",0,48.852478,-122.592613
Field's Point Wastewater Treatment Facility (Narragansett Bay Commission),Field's Point Wastewater Treatment Facility (Narragansett Bay Commission),Field's Point Wastewater Treatment Facility (Narragansett Bay Commission),Community Wind,Gilbane Building Company,Narragansett Bay Commission,Field's Point,Providence RI,4.5 MW,3,2012,Goldwind,In Service,"41.79260859°, -71.3896966°",4.5,41.79260859,-71.3896966
Fire Island Wind Project,Fire Island Wind Project,Fire Island Wind Project,Commercial Scale Wind,CIRI,Fire Island Wind LLC,Chugach,Fire Island AK,17.6 MW,11,2012,GE Energy,In Service,"61.144146°, -150.217652°",17.6,61.144146,-150.217652
First State Marine Wind,First State Marine Wind,First State Marine Wind,Offshore Wind,Gamesa / Blue Hen Wind Inc,First State Marine Wind LLC,,Atlantic Ocean DE,5 MW,1,,Gamesa,Proposed,"38.836°, -75.154°",5,38.836,-75.154
Flagler Public School Wind Project,Flagler Public School Wind Project,Flagler Public School,Community Wind,,,,CO,,1,2009,SkyStream,In Service,"39.29437°, -103.07245°",0,39.29437,-103.07245
Flat Ridge 2,Flat Ridge 2,Flat Ridge 2,Commercial Scale Wind,BP Wind Energy / Sempra Energy,BP Wind Energy,Associated Electric Cooperative Inc / Southwestern Electric Power,Nashville KS,419.2 MW,262,2012,GE Energy,In Service,"37.367868°, -98.240757°",419.2,37.367868,-98.240757
Flat Ridge 2 Expansion,Flat Ridge 2 Expansion,Flat Ridge 2 Expansion,Commercial Scale Wind,BP Wind Energy,BP Wind Energy,Arkansas Electric Cooperative Corp,Sharon KS,51.2 MW,32,2012,GE Energy,In Service,"37.383239°, -98.334088°",51.2,37.383239,-98.334088
Flat Ridge Wind Farm,Flat Ridge Wind Farm,Flat Ridge Wind Farm,Commercial Scale Wind,BP Wind Energy North America/Weststar Energy,BP Wind Energy North America,Weststar Energy,Barber County KS,100 MW,40,2009,Clipper,In Service,"37.3694801°, -98.4603352°",100,37.3694801,-98.4603352
Flat Water Wind Farm,Flat Water Wind Farm,Flat Water Wind Farm,Commercial Scale Wind,Gestamp Wind North America,Flat Water Wind Farm,Omaha Public Power District,Richardson County NE,60 MW,40,2011,GE Energy,In Service,"40.001077°, -95.955119°",60,40.001077,-95.955119
Flinthills Tech College Wind Project,Flinthills Tech College Wind Project,Flinthills Tech College,Community Wind,,,,KS,,1,,SkyStream,,"38.419289°, -96.223602°",0,38.419289,-96.223602
Florence High School Wind Project,Florence High School Wind Project,Florence High School,Community Wind,,,,CO,,1,2012,SkyStream,In Service,"38.40648°, -105.1118°",0,38.40648,-105.1118
Flying Cloud Wind Farm,Flying Cloud Wind Farm,Flying Cloud,Commercial Scale Wind,PPM Energy Inc,Clipper Windpower,Alliant/IES Utilities,West of Spirit Lake IA,43.5 MW,29,2003,GE Energy,In Service,"43.416975°, -95.422282°",43.5,43.416975,-95.422282
Foote Creek Rim I Wind Farm,Foote Creek Rim I Wind Farm,Foote Creek Rim I,Commercial Scale Wind,PacifiCorp/Eugene Water & Electric Board,SeaWest/Tomen,PacifiCorp/Eugene Water & Electric Board,Carbon County WY,41.4 MW,69,1999,Mitsubishi,In Service,"41.652605°, -106.189914°",41.4,41.652605,-106.189914
Foote Creek Rim II Wind Farm,Foote Creek Rim II Wind Farm,Foote Creek Rim II,Commercial Scale Wind,Caithness,SeaWest,Bonneville Power Admin,Carbon County WY,1.8 MW,3,1999,Mitsubishi,In Service,"41.663881°, -106.186001°",1.8,41.663881,-106.186001
Foote Creek Rim III Wind Farm,Foote Creek Rim III Wind Farm,Foote Creek Rim III,Commercial Scale Wind,Caithness,SeaWestM&N Wind Power,Xcel Energy,Carbon County WY,24.75 MW,33,1999,NEG Micon,In Service,"41.643488°, -106.198876°",24.75,41.643488,-106.198876
Foote Creek Rim IV Wind Farm,Foote Creek Rim IV Wind Farm,Foote Creek Rim IV,Commercial Scale Wind,Caithness,SeaWest,Bonneville Power Admin,Carbon County WY,16.8 MW,28,2000,Mitsubishi,In Service,"41.626456°, -106.202095°",16.8,41.626456,-106.202095
Forbes Park Wind Farm,Forbes Park Wind Farm,Forbes Park,Commercial Scale Wind,Forbes Park,Boreal Renewable Energy,Forbes Park,Chelsea MA,0.6 MW,1,2008,,In Service,"42.3917638°, -71.0328284°",0.6,42.3917638,-71.0328284
Forest City High School Wind Farm,Forest City High School Wind Farm,Forest City High School,Community Wind,Forest City High School,Forest City High School,Forest City Community School District,Forest City IA,0.6 MW,1,1999,Nordex,In Service,"43.266011°, -93.653378°",0.6,43.266011,-93.653378
Forest Creek Wind Farm,Forest Creek Wind Farm,Forest Creek Wind Farm,Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables/RGI,Luminant,Glasscock and Sterling Counties TX,124.2 MW,54,2006,Siemens,In Service,"31.937348°, -101.312513°",124.2,31.937348,-101.312513
Fort Totten Wind Farm,Fort Totten Wind Farm,Fort Totten,Definition:Small Scale Wind,Spirit Lake Sioux,,Spirit Lake Sioux,Fort Totten ND,0.1 MW,1,1997,NEG Micon,In Service,"47.9817°, -99.0029°",0.1,47.9817,-99.0029
Forward Expansion Wind Farm,Forward Expansion Wind Farm,Forward Expansion,Commercial Scale Wind,Invenergy,Invenergy,Alliant- Wisconsin Public Service-Madison Gas & Electric- Wisconsin Public Power,Dodge and Fond du Lac Counties WI,30 MW,20,2008,GE Energy,In Service,"43.631519°, -88.556421°",30,43.631519,-88.556421
Forward Fontanelle,Forward Fontanelle,Forward Fontanelle,Community Wind,Forward Fontanelle Power LLC (community owned),,City of Fontanelle - excess to Central Iowa Power Coopeative,Fontanelle IA,1.6 MW,1,2012,GE Energy,In Service,"41.33958763°, -94.5707202°",1.6,41.33958763,-94.5707202
Forward Phase I Wind Farm,Forward Phase I Wind Farm,Forward Phase I,Commercial Scale Wind,Invenergy,Invenergy,Alliant- Wisconsin Public Service- Madison Gas & Electric-Wisconsin Public Power,Dodge and Fond du Lac Counties WI,99 MW,66,2008,GE Energy,In Service,"43.606819°, -88.534834°",99,43.606819,-88.534834
Forward Wind Farm,Forward Wind Farm,Forward,Commercial Scale Wind,Edison Mission Group,Edison Mission Group,N/a,Shade Township Park PA,29.4 MW,14,2008,Suzlon Energy Company,In Service,"40.11541°, -78.805529°",29.4,40.11541,-78.805529
Fossil Gulch Wind Park,Fossil Gulch Wind Park,Fossil Gulch Wind Park,Commercial Scale Wind,Exergy Development Group/United Materials,Exergy Development Group/United Materials,Idaho Power,Northwest of Hagerman ID,10.5 MW,7,2005,GE Energy,In Service,"42.814261°, -114.996665°",10.5,42.814261,-114.996665
Fowler Ridge II Wind Farm,Fowler Ridge II Wind Farm,Fowler Ridge II,Commercial Scale Wind,BP Alternative Energy,BP Alternative Energy,AEP/Vectron Energy,Benton County IN,199.5 MW,133,2009,GE Energy,In Service,"40.613872°, -87.318692°",199.5,40.613872,-87.318692
Fowler Ridge Wind Farm Phase I (Clipper),Fowler Ridge Wind Farm Phase I (Clipper),Fowler Ridge Wind Farm Phase I (Clipper),Commercial Scale Wind,BP Alternative Energy/Dominion Energy,BP Alternative Energy/Dominion Energy,AEP-Appalachian Power/AEP-Indiana Michigan Power,Benton and Tippecanoe Counties IN,100 MW,40,2009,Clipper,In Service,"40.613872°, -87.318692°",100,40.613872,-87.318692
Fowler Ridge Wind Farm Phase I (Vestas),Fowler Ridge Wind Farm Phase I (Vestas),Fowler Ridge Wind Farm Phase I (Vestas),Commercial Scale Wind,BP Alternative Energy/Dominion Energy,BP Alternative Energy/Dominion Energy,AEP-Appalachian Power/AEP-Indiana Michigan Power,Benton and Tippecanoe Counties IN,300.3 MW,182,2009,Vestas,In Service,"40.613872°, -87.318692°",300.3,40.613872,-87.318692
Fox Islands Wind Project,Fox Islands Wind Project,Fox Islands Wind Project,Commercial Scale Wind,Fox Islands Electric Cooperative,Fox Islands Electric Cooperative,Fox Islands Electric Cooperative,Vinalhaven Island ME,4.5 MW,1,2009,GE Energy,In Service,"44.088391°, -68.857802°",4.5,44.088391,-68.857802
Franklin County Wind LLC,Franklin County Wind LLC,Franklin County Wind,Commercial Scale Wind,Franklin County Wind LLC,Franklin County Wind LLC,Merchant (MISO),Franklin County IA,99 MW,60,2012,Vestas,In Service,"42.61481487°, -93.36564124°",99,42.61481487,-93.36564124
Franklin County Wind Project,Franklin County Wind Project,Franklin County,Community Wind,,,,,,1,,SkyStream,,"37.014702°, -79.895096°",0,37.014702,-79.895096
Frey Farm,Frey Farm,Frey Farm,Community Wind,PPL Renewable Energy,PPL Renewable Energy LLC / Lancaster County Solid Waste Management Authority,Turkey Hill Dairy,Conestoga PA,3.2 MW,2,2011,GE Energy,In Service,"39.95904681°, -76.45606756°",3.2,39.95904681,-76.45606756
Frisco,Frisco,Frisco,Commercial Scale Wind,DeWind,DeWind,,Guymon OK,20 MW,10,2012,DeWind,In Service,"36.49783848°, -101.4879227°",20,36.49783848,-101.4879227
G. McNeilus Wind Farm,G. McNeilus Wind Farm,G. McNeilus Wind Farm,Commercial Scale Wind,,G. McNeilus,Dairyland Power Cooperative/others,Adams MN,13.5 MW,9,2003,,In Service,"43.554778°, -92.728908°",13.5,43.554778,-92.728908
G.M. Allen & Sons Wind Farm,G.M. Allen & Sons Wind Farm,G.M. Allen & Sons,Definition:Small Scale Wind,Endless Energy,Endless Energy,G.M. Allen & Sons farm,Orland ME,0.05 MW,1,2001,Atlantic Orient Co.,In Service,"44.5704°, -68.7379°",0.05,44.5704,-68.7379
G3 Wind Farm,G3 Wind Farm,G3 Wind Farm,Community Wind,G3,Bob Lewandowski,,Southeast of Boise ID,0.22 MW,3,2003,,In Service,"43.5141°, -116.088°",0.22,43.5141,-116.088
GL Wind,GL Wind,GL Wind,Commercial Scale Wind,GL Wind,Juhl Wind,Xcel Energy,Lewiston MN,4.95 MW,2,2011,Clipper,In Service,"43.99800118°, -91.85827732°",4.95,43.99800118,-91.85827732
GSA,GSA,GSA,Commercial Scale Wind,GSA,,GSA,Jackman ME,0.2 MW,2,2010,Northern Power Systems,In Service,"45.80535736°, -70.39613128°",0.2,45.80535736,-70.39613128
GSG Wind Farm,GSG Wind Farm,GSG Wind Farm,Commercial Scale Wind,Babcock & Brown,FPC Services,,Lee and LaSalle Counties IL,80 MW,40,2007,Gamesa,In Service,"41.710895°, -89.050004°",80,41.710895,-89.050004
GWE LLC,GWE LLC,GWE LLC,Commercial Scale Wind,Goodwind Energy Inc,Goodwind Energy Inc,Central Iowa Power Cooperative,,4 MW,2,2012,HZ Windpower,In Service,"42.00274891°, -93.48017693°",4,42.00274891,-93.48017693
Gaines Cavern Wind Project,Gaines Cavern Wind Project,Gaines Cavern Wind Project,Commercial Scale Wind,General Compression,Texas Dispatchable Wind 1 LLC,,Gaines County TX,2 MW,1,2012,Gamesa,In Service,"32.688556°, -103.062464°",2,32.688556,-103.062464
Galactic Wind,Galactic Wind,Galactic Wind,Commercial Scale Wind,Epic Systems,Epic Systems,Epic Systems,Waunakee WI,9.9 MW,6,2012,Vestas,In Service,"43.17297°, -89.560688°",9.9,43.17297,-89.560688
Galveston Offshore Wind Farm,Galveston Offshore Wind Farm,Galveston Offshore Wind Farm,Offshore Wind,Wind Energy Systems Technology,Wind Energy Systems Technology,,Offshore from Galveston TX,150 MW,50,,XEMC,Proposed,"29.161°, -94.797°",150,29.161,-94.797
Galveston Offshore Wind Phase 2,Galveston Offshore Wind Phase 2,Galveston Offshore Wind Phase 2,Offshore Wind,Coastal Point Energy LLC,Coastal Point Energy LLC,,Gulf of Mexico TX,150 MW,75,,XEMC,Proposed,"29.16°, -94.747°",150,29.16,-94.747
Galveston Test,Galveston Test,Galveston Test,Offshore Wind,Coastal Point Energy LLC,Galveston Offshore Wind LLC,,Gulf of Mexico TX,3 MW,1,,Mingyang,Proposed,"29.161°, -94.773°",3,29.161,-94.773
Garden State Offshore Wind Farm,Garden State Offshore Wind Farm,Garden State Offshore Wind Farm,Offshore Wind,,Garden State Offshore Energy,,Offshore from Avalon NJ,350 MW,96,,Undetermined,Proposed,"39.08°, -74.310556°",350,39.08,-74.310556
Garnet Wind,Garnet Wind,Garnet Wind,Commercial Scale Wind,Azusa Light & Water,Azusa Light & Water,Azusa Light & Water,Palm Springs CA,6.5 MW,13,2009,,In Service,"33.918267°, -116.701076°",6.5,33.918267,-116.701076
Gary Wind Energy Project,Gary Wind Energy Project,Gary Wind Energy Project,Definition:Small Scale Wind,Energy Maintenance Services-Distributed Energy Services,Energy Maintenance Services-Distributed Energy Services,Energy Maintenance Services-Distributed Energy Services,Gary SD,0.09 MW,1,2002,Vestas,In Service,"44.7906°, -96.4546°",0.09,44.7906,-96.4546
Georgia Mountain,Georgia Mountain,Georgia Mountain,Commercial Scale Wind,All Earth Renewables,All Earth Renewables,Green Mountain Power,Milton VT,10 MW,4,2012,Goldwind,In Service,"44.662351°, -73.067991°",10,44.662351,-73.067991
Gilpin County School Wind Project,Gilpin County School Wind Project,Gilpin County School,Community Wind,,,,CO,,1,2010,SkyStream,In Service,"39.83755°, -105.47945°",0,39.83755,-105.47945
Glacier Hills,Glacier Hills,Glacier Hills,Commercial Scale Wind,We Energies,We Energies,We Energies,Between Portage and Randolph above Highway 33 WI,162 MW,90,2011,Vestas,In Service,"43.572059°, -89.111309°",162,43.572059,-89.111309
Glacier I Wind Farm,Glacier I Wind Farm,Glacier I,Commercial Scale Wind,NaturEner,NaturEner,,Near Ethridge MT,106.5 MW,71,2008,Acciona,In Service,"48.555639°, -112.120992°",106.5,48.555639,-112.120992
Glacier II,Glacier II,Glacier II,Commercial Scale Wind,NaturEner,NaturEner,San Diego Gas & Electric,Near Ethridge MT,103.5 MW,69,2009,Acciona,In Service,"48.555639°, -112.120992°",103.5,48.555639,-112.120992
Glenrock III Wind Farm,Glenrock III Wind Farm,Glenrock III,Commercial Scale Wind,EnXco,PacifiCorp,EnXco,Converse WY,39 MW,26,2009,GE Energy,In Service,"43.0347917°, -105.8439737°",39,43.0347917,-105.8439737
Glenrock Wind Farm,Glenrock Wind Farm,Glenrock,Commercial Scale Wind,PacifiCorp,PacifiCorp,PacifiCorp,East of Casper WY,99 MW,66,2008,GE Energy,In Service,"43.004101°, -105.81286°",99,43.004101,-105.81286
Goat Mountain Phase I Wind Farm,Goat Mountain Phase I Wind Farm,Goat Mountain Phase I,Commercial Scale Wind,Cielo/Edison Mission Group,Cielo/Edison Mission Group,Market,North of San Angelo TX,80 MW,80,2008,Mitsubishi,In Service,"31.908696°, -100.824122°",80,31.908696,-100.824122
Goat Mountain Phase II Wind Farm,Goat Mountain Phase II Wind Farm,Goat Mountain Phase II,Commercial Scale Wind,Cielo/Edison Mission Group,Cielo/Edison Mission Group,Market,North of San Angelo TX,69.6 MW,29,2009,Mitsubishi,In Service,"31.910008°, -100.869355°",69.6,31.910008,-100.869355
Gob Nob,Gob Nob,Gob Nob,Commercial Scale Wind,Rural Electric Convenience Cooperative Project,Rural Electric Convenience Cooperative Project,,Montgomery County IL,0.9 MW,1,2009,Emergya Wind Technologies,In Service,"39.4384551°, -89.62847114°",0.9,39.4384551,-89.62847114
Golden Hills Wind Farm,Golden Hills Wind Farm,Golden Hills Wind Farm,Commercial Scale Wind,BP Alternative Energy,BP Alternative Energy,,Near Wasco in Sherman County OR,400 MW,267,,Undetermined,Proposed,"45.547633°, -120.761232°",400,45.547633,-120.761232
Golden Spread Panhandle Wind Ranch,Golden Spread Panhandle Wind Ranch,Golden Spread Panhandle Wind Ranch,Commercial Scale Wind,Golden Spread Electric Cooperative,Cielo,Golden Spread Electric Cooperative,Wildarado TX,78.2 MW,34,2011,Siemens,In Service,"35.22770741°, -102.2323751°",78.2,35.22770741,-102.2323751
Golden Valley Wind Park,Golden Valley Wind Park,Golden Valley Wind Park,Commercial Scale Wind,Exergy,Exergy,Idaho Power,Cassia County ID,12 MW,8,2011,GE Energy,In Service,"42.379924°, -113.876892°",12,42.379924,-113.876892
Goodland I Wind Farm,Goodland I Wind Farm,Goodland I,Commercial Scale Wind,,Orion Energy Group,Duke Energy Carolinas LLC,Benton County near Earl Park IN,130.5 MW,87,2008,GE Energy,In Service,"40.686441°, -87.434993°",130.5,40.686441,-87.434993
Goodnoe Hills Wind Farm,Goodnoe Hills Wind Farm,Goodnoe Hills,Commercial Scale Wind,EnXco/Power Holdings,EnXco/Power Holdings,PacifiCorp,Goldendale,94 MW,47,2008,REpower,In Service,"45.784293°, -120.552475°",94,45.784293,-120.552475
Gordon Butte,Gordon Butte,Gordon Butte,Commercial Scale Wind,Gordon Butte Wind LLC,Oversight Resources LLC,Northwestern Energy,Martinsdale MT,9 MW,6,2012,GE Energy,In Service,"46.41040464°, -110.3341484°",9,46.41040464,-110.3341484
Goshen North Wind Project,Goshen North Wind Project,Goshen North Wind Project,Commercial Scale Wind,BP Wind Energy/Ridgeline Energy,BP Wind Energy/Ridgeline Energy,Southern California Edison Co,Bonneville County ID,124.5 MW,83,2010,GE Energy,In Service,"43.511043°, -111.886067°",124.5,43.511043,-111.886067
Grafton Technical College Wind Farm,Grafton Technical College Wind Farm,Grafton Technical College,Definition:Small Scale Wind,Grafton Technical College,Grafton Technical College,Grafton Technical College,Grafton ND,0.07 MW,1,1997,,In Service,"48.406139°, -97.426202°",0.07,48.406139,-97.426202
Grand Meadow Wind Farm,Grand Meadow Wind Farm,Grand Meadow,Commercial Scale Wind,EnXco,EnXco,Xcel Energy,Dexter MN,100.5 MW,67,2008,GE Energy,In Service,"43.707798°, -92.654071°",100.5,43.707798,-92.654071
Grand Ridge Elementary Wind Project,Grand Ridge Elementary Wind Project,Grand Ridge Elementary,Community Wind,,,,WA,,1,,SkyStream,,"47.545883°, -122.005714°",0,47.545883,-122.005714
Grand Ridge II Wind Farm,Grand Ridge II Wind Farm,Grand Ridge II,Commercial Scale Wind,Invenergy,Invenergy,AEP-Appalachian Power,La Salle County IL,51 MW,34,2009,GE Energy,In Service,"41.15496°, -88.750234°",51,41.15496,-88.750234
Grand Ridge III Wind Farm,Grand Ridge III Wind Farm,Grand Ridge III,Commercial Scale Wind,Invenergy,Invenergy,AEP-Appalachian Power,La Salle County IL,60 MW,40,2009,GE Energy,In Service,"41.15496°, -88.750234°",60,41.15496,-88.750234
Grand Ridge Wind Farm,Grand Ridge Wind Farm,Grand Ridge Wind Farm,Commercial Scale Wind,Invenergy,Invenergy,,La Salle County IL,99 MW,66,2008,GE Energy,In Service,"40.999966°, -88.401693°",99,40.999966,-88.401693
Granite Reliable Power,Granite Reliable Power,Granite Reliable Power,Commercial Scale Wind,Brookfield Renewable Energy Group,Brookfield Renewable Energy Group,Green Mountain Power / Central Vermont Public Service / New England Power Pool,Milan NH,99 MW,33,2012,Vestas,In Service,"44.74039314°, -71.28376007°",99,44.74039314,-71.28376007
Grant County Wind Farm,Grant County Wind Farm,Grant County Wind Farm,Commercial Scale Wind,Olympus Power,Suzlon and Juhl Wind,,5 miles west of Hoffman and 6 miles south of Barrett MN,20 MW,10,2010,Suzlon Energy Company,In Service,"45.82868°, -95.795288°",20,45.82868,-95.795288
Grassfield High School Wind Project,Grassfield High School Wind Project,Grassfield High School,Community Wind,,,,VA,,1,2014,SkyStream,In Service,"36.7119718°, -76.3187362°",0,36.7119718,-76.3187362
Gratiot,Gratiot,Gratiot,Commercial Scale Wind,Detroit Edison,Invenergy,Detroit Edison,Breckenridge MI,102.4 MW,64,2011,GE Energy,In Service,"43.39354149°, -84.50833797°",102.4,43.39354149,-84.50833797
Gratiot County,Gratiot County,Gratiot County,Commercial Scale Wind,Ivenergy,Ivenergy,Detroit Edison,Breckenridge MI,110.4 MW,69,2012,GE Energy,In Service,"43.38009947°, -84.4896698°",110.4,43.38009947,-84.4896698
Gray County Wind Farm,Gray County Wind Farm,Gray County Wind Farm,Commercial Scale Wind,NextEra Energy Resources,NextEra Energy Resources,Aquila,Gray County KS,112.2 MW,170,2001,Vestas,In Service,"37.5855°, -100.384°",112.2,37.5855,-100.384
Grays Harbor Demonstration Project,Grays Harbor Demonstration Project,Grays Harbor Demonstration Project,Offshore Wind,Grays Harbor Ocean Energy Company LLC,Grays Harbor Ocean Energy Company LLC,,Pacific Ocean,10 MW,1,,,Proposed,"46.858°, -124.187°",10,46.858,-124.187
Great Lakes Science Center Wind Farm,Great Lakes Science Center Wind Farm,Great Lakes Science Center,Community Wind,Great Lakes Science Center,Great Lakes Science Center,Great Lakes Science Center,Cleveland OH,0.23 MW,1,2006,Vestas,In Service,"41.506659°, -81.696816°",0.23,41.506659,-81.696816
Great Plains Wind Farm,Great Plains Wind Farm,Great Plains,Commercial Scale Wind,Noble Environmental,Noble Environmental,,Hansford County TX,114 MW,76,2009,GE Energy,In Service,"36.285809°, -101.358662°",114,36.285809,-101.358662
Green Mountain Energy Wind Farm I,Green Mountain Energy Wind Farm I,AMP-Ohio/Green Mountain Energy Wind Farm,Commercial Scale Wind,Bowling Green,AMP Ohio,Bowling Green,Bowling Green OH,3.6 MW,2,2003,Vestas,In Service,"41.374909°, -83.738093°",3.6,41.374909,-83.738093
Green Mountain Energy Wind Farm II,Green Mountain Energy Wind Farm II,AMP-Ohio/Green Mountain Energy Wind Farm,Commercial Scale Wind,Ohio Municipal Electric Generation Agency Joint Venture 6,AMP Ohio,Ohio Municipal Electric Generation Agency Joint Venture 6,Bowling Green OH,3.6 MW,2,2004,Vestas,In Service,"41.374909°, -83.738093°",3.6,41.374909,-83.738093
Green Mountain Wind Farm,Green Mountain Wind Farm,Green Mountain Wind Farm,Commercial Scale Wind,NextEra Energy Resources,National Wind Power,Green Mountain Energy Company,Somerset County PA,10.4 MW,8,2000,Nordex,In Service,"39.850753°, -79.066629°",10.4,39.850753,-79.066629
Green Power Wind Farm,Green Power Wind Farm,Green Power,Commercial Scale Wind,NextEra Energy Resources,GE Energy,Southern California Edison Co,San Gorgonio CA,16.5 MW,22,1999,Zond,In Service,"33.9095°, -116.734°",16.5,33.9095,-116.734
Green Ridge Power Wind Farm I,Green Ridge Power Wind Farm I,Green Ridge Power,Commercial Scale Wind,NextEra Energy Resources,Kenetech,Pacific Gas & Electric Co,Altamont Pass CA,147.6 MW,"1,476",,Kenetech,In Service,"37.7347°, -121.652°",147.6,37.7347,-121.652
Green Ridge Power Wind Farm II,Green Ridge Power Wind Farm II,Green Ridge Power,Commercial Scale Wind,NextEra Energy Resources,Kenetech,Pacific Gas & Electric Co,Altamont Pass CA,12.3 MW,41,,Kenetech,In Service,"37.7347°, -121.652°",12.3,37.7347,-121.652
Greenbush Kansas Wind Project,Greenbush Kansas Wind Project,Greenbush Kansas,Community Wind,,,,KS,,1,,SkyStream,,"37.51403°, -94.987839°",0,37.51403,-94.987839
